,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,emp_combined_ss60,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_parks,gps_transit_stations,gps_workplaces,gps_residential,gps_away_from_home,state_AK,state_AL,state_AR,state_AZ,state_CA,state_CO,state_CT,state_DC,state_DE,state_FL,state_GA,state_HI,state_IA,state_ID,state_IL,state_IN,state_KS,state_KY,state_LA,state_MA,state_MD,state_ME,state_MI,state_MN,state_MO,state_MS,state_MT,state_NC,state_ND,state_NE,state_NH,state_NJ,state_NM,state_NV,state_NY,state_OH,state_OK,state_OR,state_PA,state_RI,state_SC,state_SD,state_TN,state_TX,state_UT,state_VA,state_VT,state_WA,state_WI,state_WV,state_WY
20,Arizona,2020,6,594.1,17.18,-0.07596666666666667,-0.2466,-0.027973333333333333,0.0036560333333333314,-0.048470000000000006,-0.19726666666666665,-0.06528333333333333,-0.11698666666666664,-0.28633333333333333,-0.3057333333333333,0.09966333333333331,-0.1178666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Arizona,2020,7,1819.3548387096773,35.41290322580645,-0.08864193548387098,-0.253516129032258,-0.03958387096774192,-0.018275806451612905,-0.059280645161290335,-0.23848387096774198,-0.10375161290322585,-0.16809677419354838,-0.3011290322580645,-0.3493548387096775,0.11138709677419358,-0.13348387096774192,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Arizona,2020,8,2637.5806451612902,61.177419354838705,-0.07936129032258064,-0.2506774193548387,-0.02900967741935483,-0.0047260129032258074,-0.04730645161290323,-0.2375483870967742,-0.1256451612903226,-0.19932258064516123,-0.30145161290322586,-0.3438064516129033,0.0993451612903226,-0.11764516129032264,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Arizona,2020,9,2894.633333333333,73.93,-0.05951333333333332,-0.22456666666666664,-0.012066433333333333,0.014999666666666666,-0.024589999999999997,-0.2102666666666666,-0.12893333333333337,-0.13667666666666667,-0.2736,-0.3238333333333333,0.08285666666666663,-0.0970933333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Arkansas,2020,2,0.0,0.0,0.008203333333333332,-0.005975,0.020883333333333334,0.0,0.022816666666666666,0.06285,0.01833833333333333,0.0789,0.021898333333333336,0.02025,-0.003805,0.0028222,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Arkansas,2020,3,4.241616129032258,0.03849677419354839,-0.014920999999999999,-0.04523225806451613,0.004770774193548387,0.0,0.018500032258064514,-0.033571290322580626,0.0709206451612903,0.40466451612903226,-0.034819677419354836,-0.09865451612903225,0.03892580645161291,-0.04758483870967741,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,Arkansas,2020,4,59.19666666666667,1.1127,-0.1568733333333333,-0.2967,-0.08561999999999999,0.0,-0.052253333333333325,-0.25323333333333337,-0.028994666666666658,0.31626666666666664,-0.2381666666666667,-0.3332,0.11472333333333336,-0.1410333333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Arkansas,2020,5,160.48387096774192,3.3538709677419356,-0.12423548387096775,-0.2753548387096775,-0.046835806451612914,0.0,-0.029493548387096773,-0.07980322580645159,0.09418064516129035,0.6575483870967742,-0.11020967741935488,-0.2700000000000001,0.07797096774193549,-0.09089354838709678,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Arkansas,2020,6,444.3,6.511666666666667,-0.08865000000000002,-0.19833333333333333,-0.019823466666666664,0.0,-0.003798699999999999,-0.029149999999999995,0.09488333333333333,1.0812333333333333,0.006952333333333335,-0.22746666666666662,0.05474999999999999,-0.06143333333333334,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Arkansas,2020,7,1039.4193548387098,11.573548387096775,-0.11832258064516128,-0.18370967741935482,-0.06362903225806453,0.0,0.005180000000000001,-0.04321645161290324,0.06358709677419354,0.9382903225806452,0.010285806451612898,-0.2537741935483871,0.05930322580645162,-0.06769999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Arkansas,2020,8,1746.5806451612902,20.400000000000002,-0.12387096774193551,-0.18729032258064515,-0.06468709677419357,0.0,0.025729032258064517,-0.042035483870967755,0.02945258064516129,0.7464193548387096,-0.002489999991419355,-0.2462258064516129,0.05031935483870969,-0.05699999999999998,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Arkansas,2020,9,2400.4333333333334,35.95000000000001,-0.13373333333333337,-0.19830000000000003,-0.07440999999999999,0.0,0.07962,-0.06237666666666666,-0.0023356666666666673,0.7992333333333332,-0.027948999999999995,-0.21889999999999998,0.034473333333333335,-0.03907666666666666,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,California,2020,2,0.0544,0.0,0.025349999999999998,-0.028999999999999998,0.03303333333333334,0.03186666666666667,0.017349999999999997,0.025733333333333334,0.011186666666666666,0.12,0.01263,0.019516666666666665,-0.002381666666666667,0.0017400000000000002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,California,2020,3,4.523377419354838,0.09088064516129032,-0.02535516129032258,-0.09185806451612903,-0.017638387096774195,-0.01415809677419355,-0.01651064516129032,-0.15454193548387096,0.012259032258064519,-0.0958483870967742,-0.23639290322580647,-0.1761648387096774,0.08448354838709676,-0.10427141935483872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,California,2020,4,73.05333333333334,2.5462666666666665,-0.21713333333333334,-0.33399999999999996,-0.23213333333333333,-0.14176666666666665,-0.14083333333333325,-0.49663333333333337,-0.18813333333333332,-0.36760000000000004,-0.5374333333333333,-0.48240000000000005,0.20713333333333334,-0.25560000000000005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,California,2020,5,202.19354838709677,8.112258064516126,-0.18493548387096773,-0.32225806451612904,-0.20493548387096774,-0.09175483870967743,-0.12050000000000001,-0.448741935483871,-0.08490967741935483,-0.14728709677419358,-0.4522258064516128,-0.4117741935483872,0.16506451612903225,-0.1999354838709678,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,California,2020,6,413.8666666666667,13.133333333333333,-0.1197666666666667,-0.26753333333333335,-0.12893333333333332,-0.04336,-0.08037333333333334,-0.3304,-0.06194666666666667,0.035251333333333336,-0.38683333333333325,-0.3378333333333333,0.12633333333333335,-0.15039999999999998,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,California,2020,7,931.0645161290323,18.990322580645163,-0.10964516129032263,-0.26838709677419353,-0.11283870967741938,-0.04096451612903225,-0.07556774193548386,-0.29377419354838713,-0.07092580645161291,0.11085483870967744,-0.38754838709677436,-0.3536451612903226,0.11974193548387105,-0.14261290322580647,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,California,2020,8,1564.9032258064517,28.535483870967738,-0.10637741935483873,-0.2812903225806452,-0.10860000000000003,-0.03261612903225806,-0.06987096774193549,-0.293,-0.09025161290322581,0.07186806450754839,-0.39548387096774207,-0.3605806451612902,0.11603225806451621,-0.1376451612903226,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,California,2020,9,1953.6,36.973333333333336,-0.09736333333333334,-0.2891666666666666,-0.09763666666666668,-0.0214,-0.020411666666666665,-0.2771999999999999,-0.10648000000000005,-0.049654333333333335,-0.39930000000000004,-0.34286666666666676,0.10909999999999997,-0.12863333333333335,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,Colorado,2020,2,0.0,0.0,0.013633333333333332,-0.0031155,0.011399999999999999,0.0248,0.02111666666666667,0.010709999999999999,0.01642,-0.07728333333333333,0.01285166666666667,0.024783333333333334,0.0007133333333333332,-0.0026056666666666663,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,Colorado,2020,3,10.42018387096774,0.1927741935483871,-0.021328709677419358,-0.053994193548387096,-0.018433548387096772,-0.01097748387096774,-0.00379935483870968,-0.13559354838709678,0.04302903225806452,0.11793709677419356,-0.20554193548387098,-0.16406967741935485,0.07011935483870967,-0.08486005161290323,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,Colorado,2020,4,152.87,6.780333333333333,-0.1838666666666667,-0.3126666666666667,-0.19353333333333336,-0.10943666666666667,-0.12841,-0.43966666666666676,-0.20350000000000001,-0.03792333333333331,-0.5566666666666665,-0.49253333333333355,0.19153333333333325,-0.23293333333333335,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
