,statename,year,month,case_rate,death_rate,emp_combined,emp_combined_inclow,emp_combined_incmiddle,emp_combined_inchigh,gps_retail_and_recreation,gps_grocery_and_pharmacy,gps_workplaces,gps_residential,gps_away_from_home
38,California,2020,8,1564.9032258064517,28.535483870967738,-0.10637741935483873,-0.2812903225806452,-0.10860000000000003,-0.03261612903225806,-0.293,-0.09025161290322581,-0.3605806451612902,0.11603225806451621,-0.1376451612903226
39,California,2020,9,1953.6,36.973333333333336,-0.09736333333333334,-0.2891666666666666,-0.09763666666666668,-0.0214,-0.2771999999999999,-0.10648000000000005,-0.34286666666666676,0.10909999999999997,-0.12863333333333335
40,Colorado,2020,2,0.0,0.0,0.013633333333333332,-0.0031155,0.011399999999999999,0.0248,0.010709999999999999,0.01642,0.024783333333333334,0.0007133333333333332,-0.0026056666666666663
41,Colorado,2020,3,10.42018387096774,0.1927741935483871,-0.021328709677419358,-0.053994193548387096,-0.018433548387096772,-0.01097748387096774,-0.13559354838709678,0.04302903225806452,-0.16406967741935485,0.07011935483870967,-0.08486005161290323
42,Colorado,2020,4,152.87,6.780333333333333,-0.1838666666666667,-0.3126666666666667,-0.19353333333333336,-0.10943666666666667,-0.43966666666666676,-0.20350000000000001,-0.49253333333333355,0.19153333333333325,-0.23293333333333335
43,Colorado,2020,5,370.03225806451616,19.93548387096775,-0.13755483870967744,-0.27374193548387094,-0.14887096774193542,-0.057061290322580636,-0.2668709677419355,-0.04662387096774194,-0.3970322580645162,0.1338709677419355,-0.15967741935483862
44,Colorado,2020,6,513.1333333333333,27.803333333333338,-0.07344666666666667,-0.19553333333333336,-0.06869333333333331,-0.025136666666666672,-0.1458,0.010760666666666668,-0.31356666666666666,0.08871333333333334,-0.10166
45,Colorado,2020,7,680.9677419354839,30.406451612903226,-0.051803225806451615,-0.1643548387096774,-0.04093225806451613,-0.017574193548387095,-0.09973225806451616,0.03363870967741935,-0.31883870967741934,0.0759322580645161,-0.08558387096774195
46,Colorado,2020,8,919.9354838709677,32.93225806451612,-0.04447741935483871,-0.15667741935483873,-0.03362903225806452,-0.010397419354838707,-0.10748387096774194,0.010779032258064519,-0.3162903225806452,0.07147419354838708,-0.0802290322580645
47,Colorado,2020,9,1105.0333333333333,34.88333333333333,-0.05947333333333333,-0.18683333333333327,-0.048889999999999996,-0.018026666666666667,-0.13099999999999998,-0.02066966666666666,-0.2946666666666667,0.07075333333333332,-0.07935333333333332
48,Connecticut,2020,2,0.0,0.0,0.0023750000000000004,-4.2333333333333276e-05,-0.0017511666666666667,0.011266666666666668,0.0457,-0.0049966666666666675,0.020951666666666664,-0.0026216666666666662,0.006296666666666666
49,Connecticut,2020,3,13.208429032258064,0.2561935483870968,-0.0389441935483871,-0.05530774193548387,-0.04037248387096774,-0.025371064516129034,-0.13152032258064514,0.02821935483870969,-0.15572580645161288,0.0722874193548387,-0.0870583741935484
50,Connecticut,2020,4,436.7933333333333,27.816666666666663,-0.2366666666666667,-0.38330000000000014,-0.23233333333333334,-0.14456666666666665,-0.4433666666666667,-0.19449999999999998,-0.48106666666666675,0.2031,-0.24599999999999997
51,Connecticut,2020,5,1017.1290322580645,91.40967741935484,-0.18303225806451615,-0.34819354838709676,-0.18029032258064512,-0.07519354838709678,-0.29538709677419356,-0.10658064516129034,-0.40316129032258075,0.15774193548387097,-0.1863225806451613
52,Connecticut,2020,6,1260.9333333333334,117.23333333333333,-0.10565333333333335,-0.2295333333333333,-0.10414333333333334,-0.023583333333333335,-0.12944333333333333,-0.03204633332446667,-0.3053,0.10460333333333334,-0.11888333333333337
53,Connecticut,2020,7,1342.3225806451612,122.93548387096774,-0.08227096774193549,-0.15661290322580643,-0.08132258064516129,-0.03328387096774193,-0.0917967741935484,-0.03612548387096774,-0.3021290322580646,0.08622258064516128,-0.09709677419354838
54,Connecticut,2020,8,1434.4516129032259,124.80645161290323,-0.07158709677419355,-0.15319354838709673,-0.06734516129032257,-0.02348387096774194,-0.07816451612903226,-0.04916548387096773,-0.3095483870967741,0.0653516129032258,-0.07188709677419355
55,Connecticut,2020,9,1543.8666666666666,125.7,-0.05282333333333333,-0.20403333333333332,-0.024593333333333325,0.0004503333333333335,-0.08461333333333333,-0.05738,-0.27110000000000006,0.06443333333333333,-0.07057999999999999
56,Delaware,2020,2,0.0,0.0,0.012533333333333334,-0.014699999999999998,0.015216666666666665,0.03386666666666666,0.044300000000000006,0.014995,0.028083333333333335,-0.004761666666666667,0.0077016666666666666
